PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,99.86746473,0.299492814,100,98.94944156,0.63,100,0,100,100,0.63,89.07611132,9.085361517,99.83601838,65.43258572
0.64,100,0,100,100,0.64,100,0,100,100,0.64,100,0,100,100,0.64,100,0,100,100,0.64,99.83962867,0.355662501,100,98.80613388,0.64,100,0,100,100,0.64,88.83545499,9.16010643,99.82541258,65.1800321
0.65,100,0,100,100,0.65,100,0,100,100,0.65,100,0,100,100,0.65,100,0,100,100,0.65,99.80922196,0.417243333,100,98.65651391,0.65,100,0,100,100,0.65,88.5963409,9.233095531,99.81422101,64.93184206
0.66,100,0,100,100,0.66,100,0,100,100,0.66,100,0,100,100,0.66,100,0,100,100,0.66,99.77593579,0.484930652,100,98.5002437,0.66,100,0,100,100,0.66,88.35874441,9.304369143,99.8020593,64.68782318
0.67,100,0,100,100,0.67,100,0,100,100,0.67,100,0,100,100,0.67,100,0,100,100,0.67,99.73973453,0.558964574,100,98.33496354,0.67,100,0,100,100,0.67,88.12214859,9.373917215,99.78858403,64.44756202
0.68,100,0,100,100,0.68,100,0,100,100,0.68,100,0,100,100,0.68,100,0,100,100,0.68,99.70039775,0.639681119,100,98.16254574,0.68,100,0,100,100,0.68,87.88672726,9.441012988,99.77371672,64.21312932
0.69,100,0,100,100,0.69,100,0,100,100,0.69,100,0,100,100,0.69,100,0,100,100,0.69,99.65648225,0.730442365,100,97.98307622,0.69,100,0,100,100,0.69,87.65282125,9.506287397,99.75757789,63.98286964
0.7,100,0,100,100,0.7,100,0,100,100,0.7,100,0,100,100,0.7,100,0,100,100,0.7,99.60838161,0.830680783,100,97.73502124,0.7,100,0,100,100,0.7,87.42030333,9.56969354,99.73883741,63.75829617
0.71,100,0,100,100,0.71,100,0,100,100,0.71,100,0,100,100,0.71,100,0,100,100,0.71,99.5575523,0.93708383,100,97.42398445,0.71,100,0,100,100,0.71,87.18970116,9.631278478,99.71865911,63.53893287
0.72,100,0,100,100,0.72,100,0,100,100,0.72,100,0,100,100,0.72,100,0,100,100,0.72,99.50421599,1.049118242,100,97.1027425,0.72,100,0,100,100,0.72,86.96076021,9.691273808,99.69772383,63.32465581
0.73,100,0,100,100,0.73,100,0,100,100,0.73,100,0,100,100,0.73,100,0,100,100,0.73,99.44898533,1.165324359,100,96.75236243,0.73,100,0,100,100,0.73,86.73312526,9.749812117,99.67504238,63.11373272
0.74,100,0,100,100,0.74,100,0,100,100,0.74,100,0,100,100,0.74,100,0,100,100,0.74,99.39094458,1.28802049,100,96.35816536,0.74,100,0,100,100,0.74,86.50687416,9.806613285,99.6505973,62.90739941
0.75,100,0,100,100,0.75,100,0,100,100,0.75,100,0,100,100,0.75,100,0,100,100,0.75,99.33095147,1.415412013,100,95.94065929,0.75,100,0,100,100,0.75,86.28166975,9.862161126,99.62465078,62.70461888
0.76,100,0,100,100,0.76,100,0,100,100,0.76,100,0,100,100,0.76,100,0,100,100,0.76,99.26943404,1.546472753,100,95.5076867,0.76,100,0,100,100,0.76,86.05781121,9.91609144,99.59858976,62.5058853
0.77,100,0,100,100,0.77,100,0,100,100,0.77,100,0,100,100,0.77,100,0,100,100,0.77,99.20634972,1.681163647,100,95.06319423,0.77,100,0,100,100,0.77,85.83520478,9.968341725,99.57119715,62.31091096
0.78,100,0,100,100,0.78,100,0,100,100,0.78,100,0,100,100,0.78,100,0,100,100,0.78,99.1414593,1.82014081,100,94.60695267,0.78,100,0,100,100,0.78,85.61355779,10.01894421,99.54310073,62.11914078
0.79,100,0,100,100,0.79,100,0,100,100,0.79,100,0,100,100,0.79,100,0,100,100,0.79,99.07576037,1.960984072,100,94.14599713,0.79,100,0,100,100,0.79,85.39298455,10.06813766,99.5146359,61.93027409
0.8,100,0,100,100,0.8,100,0,100,100,0.8,100,0,100,100,0.8,100,0,100,100,0.8,99.00963212,2.102593372,100,93.68602863,0.8,100,0,100,100,0.8,85.17371003,10.11568583,99.48506697,61.74501509
0.81,100,0,100,100,0.81,100,0,100,100,0.81,100,0,100,100,0.81,100,0,100,100,0.81,98.94323172,2.244519924,100,93.23017662,0.81,100,0,100,100,0.81,84.95565467,10.16186269,99.45524323,61.56268031
0.82,100,0,100,100,0.82,100,0,100,100,0.82,100,0,100,100,0.82,100,0,100,100,0.82,98.87620536,2.387554001,100,92.77442819,0.82,100,0,100,100,0.82,84.73863011,10.2060397,99.42417129,61.38380149
0.83,100,0,100,100,0.83,100,0,100,100,0.83,100,0,100,100,0.83,100,0,100,100,0.83,98.80825587,2.532611484,100,92.31104314,0.83,100,0,100,100,0.83,84.52265805,10.24861942,99.39239689,61.20748753
0.84,100,0,100,100,0.84,100,0,100,100,0.84,100,0,100,100,0.84,100,0,100,100,0.84,98.73940714,2.679598112,100,91.83904131,0.84,100,0,100,100,0.84,84.30827369,10.28954019,99.35982481,61.03431774
0.85,100,0,100,100,0.85,100,0,100,100,0.85,100,0,100,100,0.85,100,0,100,100,0.85,98.66997684,2.828093726,100,91.35945606,0.85,100,0,100,100,0.85,84.09581729,10.32898278,99.32675338,60.86435222
0.86,100,0,100,100,0.86,100,0,100,100,0.86,100,0,100,100,0.86,100,0,100,100,0.86,98.59985081,2.978369159,100,90.87285758,0.86,100,0,100,100,0.86,83.88554705,10.36741134,99.29218794,60.69640393
0.87,100,0,100,100,0.87,100,0,100,100,0.87,100,0,100,100,0.87,100,0,100,100,0.87,98.52846001,3.132017696,100,90.37036276,0.87,100,0,100,100,0.87,83.67738556,10.40511998,99.25735055,60.53103103
0.88,100,0,100,100,0.88,100,0,100,100,0.88,100,0,100,100,0.88,100,0,100,100,0.88,98.4562485,3.287908655,100,89.857641,0.88,100,0,100,100,0.88,83.47132332,10.44180208,99.22150934,60.36798905
0.89,100,0,100,100,0.89,100,0,100,100,0.89,100,0,100,100,0.89,100,0,100,100,0.89,98.38365929,3.444875424,100,89.34410398,0.89,100,0,100,100,0.89,83.26726273,10.47748917,99.18465619,60.20701212
0.9,100,0,100,100,0.9,100,0,100,100,0.9,100,0,100,100,0.9,100,0,100,100,0.9,98.31173616,3.600101016,100,88.83378392,0.9,100,0,100,100,0.9,83.06545701,10.51206138,99.14818454,60.04814751
0.91,100,0,100,100,0.91,100,0,100,100,0.91,100,0,100,100,0.91,100,0,100,100,0.91,98.24053854,3.753751906,100,88.32550023,0.91,100,0,100,100,0.91,82.86555588,10.54561332,99.1110791,59.89251058
0.92,100,0,100,100,0.92,100,0,100,100,0.92,100,0,100,100,0.92,100,0,100,100,0.92,98.16962639,3.906364466,100,87.82031306,0.92,100,0,100,100,0.92,82.6676271,10.57808243,99.07336062,59.73907211
0.93,100,0,100,100,0.93,100,0,100,100,0.93,100,0,100,100,0.93,100,0,100,100,0.93,98.09902571,4.058038508,100,87.31344106,0.93,100,0,100,100,0.93,82.47163516,10.60957368,99.03562587,59.5873721
0.94,100,0,100,100,0.94,100,0,100,100,0.94,100,0,100,100,0.94,100,0,100,100,0.94,98.02909975,4.208009498,100,86.8105394,0.94,100,0,100,100,0.94,82.27799548,10.64018882,98.99760771,59.43781996
0.95,100,0,100,100,0.95,100,0,100,100,0.95,100,0,100,100,0.95,100,0,100,100,0.95,97.95974669,4.356165697,100,86.31345888,0.95,100,0,100,100,0.95,82.08617542,10.66972524,98.95865613,59.28975637
0.96,100,0,100,100,0.96,100,0,100,100,0.96,100,0,100,100,0.96,100,0,100,100,0.96,97.89038792,4.503562763,100,85.81979065,0.96,100,0,100,100,0.96,81.8965692,10.69820951,98.91812482,59.14357346
0.97,100,0,100,100,0.97,100,0,100,100,0.97,100,0,100,100,0.97,100,0,100,100,0.97,97.82132255,4.649813274,100,85.32908468,0.97,100,0,100,100,0.97,81.70887989,10.72592236,98.8759905,58.99874543
0.98,100,0,100,100,0.98,100,0,100,100,0.98,100,0,100,100,0.98,100,0,100,100,0.98,97.75219509,4.795455054,100,84.84243965,0.98,100,0,100,100,0.98,81.52337869,10.75238823,98.83119824,58.85586985
0.99,100,0,100,100,0.99,100,0,100,100,0.99,100,0,100,100,0.99,100,0,100,100,0.99,97.68307956,4.9402551,100,84.35772158,0.99,100,0,100,100,0.99,81.3397954,10.77793931,98.78401808,58.71455112
1,100,0,100,100,1,100,0,100,100,1,100,0,100,100,1,100,0,100,100,1,97.61382165,5.084353712,100,83.87537403,1,100,0,100,100,1,81.15800326,10.80285278,98.73414302,58.57380656
1.01,100,0,100,100,1.01,100,0,100,100,1.01,100,0,100,100,1.01,100,0,100,100,1.01,97.54441453,5.227841712,100,83.39507695,1.01,100,0,100,100,1.01,80.9780914,10.82657783,98.68199423,58.43405257
1.02,100,0,100,100,1.02,100,0,100,100,1.02,100,0,100,100,1.02,100,0,100,100,1.02,97.47504754,5.370564687,100,82.9155117,1.02,100,0,100,100,1.02,80.80029928,10.84928316,98.62727771,58.29473743
1.03,100,0,100,100,1.03,100,0,100,100,1.03,100,0,100,100,1.03,100,0,100,100,1.03,97.40531709,5.513012754,100,82.43635783,1.03,100,0,100,100,1.03,80.62475112,10.87116106,98.56941337,58.15733335
1.04,100,0,100,100,1.04,100,0,100,100,1.04,100,0,100,100,1.04,100,0,100,100,1.04,97.33540008,5.65439345,100,81.95968363,1.04,100,0,100,100,1.04,80.45164032,10.89254044,98.5099119,58.02209937
1.05,100,0,100,100,1.05,100,0,100,100,1.05,100,0,100,100,1.05,100,0,100,100,1.05,97.2651431,5.794445757,100,81.48884789,1.05,100,0,100,100,1.05,80.28042101,10.91319556,98.44783653,57.88857145
1.06,100,0,100,100,1.06,100,0,100,100,1.06,100,0,100,100,1.06,100,0,100,100,1.06,97.19482347,5.933162952,100,81.02360385,1.06,100,0,100,100,1.06,80.11126074,10.93329933,98.38390455,57.75657365
1.07,100,0,100,100,1.07,100,0,100,100,1.07,100,0,100,100,1.07,100,0,100,100,1.07,97.12469392,6.070193277,100,80.56473447,1.07,100,0,100,100,1.07,79.94432033,10.95252403,98.31906386,57.62639799
1.08,100,0,100,100,1.08,100,0,100,100,1.08,100,0,100,100,1.08,100,0,100,100,1.08,97.05490522,6.205406855,100,80.11241458,1.08,100,0,100,100,1.08,79.77908941,10.97112217,98.25216505,57.49774271
1.09,100,0,100,100,1.09,100,0,100,100,1.09,100,0,100,100,1.09,100,0,100,100,1.09,96.98494597,6.33957239,100,79.66471996,1.09,100,0,100,100,1.09,79.61577398,10.98908523,98.18525783,57.37141543
1.1,100,0,100,100,1.1,100,0,100,100,1.1,100,0,100,100,1.1,100,0,100,100,1.1,96.91505017,6.472353953,100,79.22580567,1.1,100,0,100,100,1.1,79.4545031,11.00660477,98.11778921,57.2460979
